Match,Squad 1,Squad 1 Key,Squad 2,Squad 2 Key,Group,Stage
1,Qatar,2021-Gold Cup-Qatar,Ecuador,2021-Copa America-Ecuador,A,Group
2,Senegal,2021-Africa Cup of Nations-Senegal,Netherlands,2021-UEFA Euros-Netherlands,A,Group
3,Qatar,2021-Gold Cup-Qatar,Senegal,2021-Africa Cup of Nations-Senegal,A,Group
4,Netherlands,2021-UEFA Euros-Netherlands,Ecuador,2021-Copa America-Ecuador,A,Group
5,Netherlands,2021-UEFA Euros-Netherlands,Qatar,2021-Gold Cup-Qatar,A,Group
6,Ecuador,2021-Copa America-Ecuador,Senegal,2021-Africa Cup of Nations-Senegal,A,Group
7,England,2021-UEFA Euros-England,Iran,2019-AFC Asian Cup-Iran,B,Group
8,United States,2021-Gold Cup-United States,Wales,2021-UEFA Euros-Wales,B,Group
9,Wales,2021-UEFA Euros-Wales,Iran,2019-AFC Asian Cup-Iran,B,Group
10,England,2021-UEFA Euros-England,United States,2021-Gold Cup-United States,B,Group
11,Wales,2021-UEFA Euros-Wales,England,2021-UEFA Euros-England,B,Group
12,Iran,2019-AFC Asian Cup-Iran,United States,2021-Gold Cup-United States,B,Group
13,Argentina,2021-Copa America-Argentina,Saudi Arabia,2019-AFC Asian Cup-Saudi Arabia,C,Group
14,Mexico,2021-Gold Cup-Mexico,Poland,2021-UEFA Euros-Poland,C,Group
15,Poland,2021-UEFA Euros-Poland,Saudi Arabia,2019-AFC Asian Cup-Saudi Arabia,C,Group
16,Argentina,2021-Copa America-Argentina,Mexico,2021-Gold Cup-Mexico,C,Group
17,Poland,2021-UEFA Euros-Poland,Argentina,2021-Copa America-Argentina,C,Group
18,Saudi Arabia,2019-AFC Asian Cup-Saudi Arabia,Mexico,2021-Gold Cup-Mexico,C,Group
19,Denmark,2021-UEFA Euros-Denmark,Tunisia,2021-Africa Cup of Nations-Tunisia,D,Group
20,France,2021-UEFA Euros-France,Australia,2019-AFC Asian Cup-Australia,D,Group
21,Tunisia,2021-Africa Cup of Nations-Tunisia,Australia,2019-AFC Asian Cup-Australia,D,Group
22,France,2021-UEFA Euros-France,Denmark,2021-UEFA Euros-Denmark,D,Group
23,Tunisia,2021-Africa Cup of Nations-Tunisia,France,2021-UEFA Euros-France,D,Group
24,Australia,2019-AFC Asian Cup-Australia,Denmark,2021-UEFA Euros-Denmark,D,Group
25,Germany,2021-UEFA Euros-Germany,Japan,2019-AFC Asian Cup-Japan,E,Group
26,Spain,2021-UEFA Euros-Spain,Costa Rica,2021-Gold Cup-Costa Rica,E,Group
27,Japan,2019-AFC Asian Cup-Japan,Costa Rica,2021-Gold Cup-Costa Rica,E,Group
28,Spain,2021-UEFA Euros-Spain,Germany,2021-UEFA Euros-Germany,E,Group
29,Japan,2019-AFC Asian Cup-Japan,Spain,2021-UEFA Euros-Spain,E,Group
30,Costa Rica,2021-Gold Cup-Costa Rica,Germany,2021-UEFA Euros-Germany,E,Group
31,Morocco,2021-Africa Cup of Nations-Morocco,Croatia,2021-UEFA Euros-Croatia,F,Group
32,Belgium,2021-UEFA Euros-Belgium,Canada,2021-Gold Cup-Canada,F,Group
33,Belgium,2021-UEFA Euros-Belgium,Morocco,2021-Africa Cup of Nations-Morocco,F,Group
34,Croatia,2021-UEFA Euros-Croatia,Canada,2021-Gold Cup-Canada,F,Group
35,Croatia,2021-UEFA Euros-Croatia,Belgium,2021-UEFA Euros-Belgium,F,Group
36,Canada,2021-Gold Cup-Canada,Morocco,2021-Africa Cup of Nations-Morocco,F,Group
37,Switzerland,2021-UEFA Euros-Switzerland,Cameroon,2021-Africa Cup of Nations-Cameroon,G,Group
38,Brazil,2021-Copa America-Brazil,Serbia,2021-UEFA Euro Qualifiers-Serbia,G,Group
39,Cameroon,2021-Africa Cup of Nations-Cameroon,Serbia,2021-UEFA Euro Qualifiers-Serbia,G,Group
40,Brazil,2021-Copa America-Brazil,Switzerland,2021-UEFA Euros-Switzerland,G,Group
41,Cameroon,2021-Africa Cup of Nations-Cameroon,Brazil,2021-Copa America-Brazil,G,Group
42,Serbia,2021-UEFA Euro Qualifiers-Serbia,Switzerland,2021-UEFA Euros-Switzerland,G,Group
43,Uruguay,2021-Copa America-Uruguay,South Korea,2019-AFC Asian Cup-South Korea,H,Group
44,Portugal,2021-UEFA Euros-Portugal,Ghana,2021-Africa Cup of Nations-Ghana,H,Group
45,South Korea,2019-AFC Asian Cup-South Korea,Ghana,2021-Africa Cup of Nations-Ghana,H,Group
46,Portugal,2021-UEFA Euros-Portugal,Uruguay,2021-Copa America-Uruguay,H,Group
47,South Korea,2019-AFC Asian Cup-South Korea,Portugal,2021-UEFA Euros-Portugal,H,Group
48,Ghana,2021-Africa Cup of Nations-Ghana,Uruguay,2021-Copa America-Uruguay,H,Group
49,1A,Knockout Round,2B,Knockout Round,R16,Knockout
50,1C,Knockout Round,2D,Knockout Round,R16,Knockout
51,1D,Knockout Round,2C,Knockout Round,R16,Knockout
52,1B,Knockout Round,2A,Knockout Round,R16,Knockout
53,1E,Knockout Round,2F,Knockout Round,R16,Knockout
54,1G,Knockout Round,2H,Knockout Round,R16,Knockout
55,1F,Knockout Round,2E,Knockout Round,R16,Knockout
56,1H,Knockout Round,2G,Knockout Round,R16,Knockout
57,M53,Knockout Round,M54,Knockout Round,R8,Knockout
58,M49,Knockout Round,M50,Knockout Round,R8,Knockout
59,M55,Knockout Round,M56,Knockout Round,R8,Knockout
60,M52,Knockout Round,M51,Knockout Round,R8,Knockout
61,M57,Knockout Round,M58,Knockout Round,Semi-Finals,Knockout
62,M59,Knockout Round,M60,Knockout Round,Semi-Finals,Knockout
63,M61,Knockout Round,M62,Knockout Round,Finals,Knockout
